title,genre,description,author,bookformat,isbn,pages,image
Crafty TV Writing: Thinking Inside the Box,"Childrens,Picture Books,Cartography,Maps,Childrens","A professional TV writer's real-world guide to getting paid to write great television,Everyone watches television, and everyone has an opinion on what makes good TV. But, as Alex Epstein shows in this invaluable guide, writing for television is a highly specific craft that requires knowledge, skill, and more than a few insider's tricks.,Epstein, a veteran TV writer and show creator himself, provides essential knowledge about the entire process of television writing, both for beginners and for professionals who want to go to the next level. ,Crafty TV Writing, explains how to decode the hidden structure of a TV series. It describes the best ways to generate a hook, write an episode, create characters the audience will never tire of, construct entertaining dialogue, and use humor. It shows how to navigate the tough but rewarding television industry, from writing your first ""spec"" script, to getting hired to work on a show, to survivingâ€”even thrivingâ€”if you get fired. And it illuminates how television writers think about the shows they're writing, whether they're working in comedy, drama, or ""reality."",Fresh, funny, and informed, ,Crafty TV Writing, is the essential guide to writing for and flourishing in the world of television.",Alex Epstein,Paperback,805080287,327,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316730104l/100064.jpg
Lesser Hippias,"Horror,Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy,Graphic Novels Comics,Short Stories,Classics,Young Adult,Fiction","This edition is written in English. However, there is a running Chinese Traditional thesaurus at the bottom of each page for the more difficult English words highlighted in the text. There are many editions of Lesser Hippias. This edition would be useful if you would like to enrich your Chinese Traditional-English vocabulary, whether for self-improvement or for preparation in advanced of college examinations. Websters edition of this classic is organized to expose the reader to a maximum number of difficult and potentially ambiguous English words. Rare or idiosyncratic words and expressions are given lower priority compared to difficult, yet commonly used English words. Rather than supply a single translation, many words are translated for a variety of meanings in Chinese Traditional, allowing readers to better grasp the ambiguity of English without using the notes as a pure translation crutch. Having the reader decipher a words meaning within context serves to improve vocabulary retention and understanding. Each page covers words not already highlighted on previous pages. This edition is helpful to Chinese Traditional-speaking students enrolled in an English Language Program (ELP), an English as a Foreign Language (EFL) program, an English as a Second Language Program (ESL), or in a TOEFL or TOEIC preparation program. Students who are actively building their vocabularies in Chinese Traditional or English may also find this useful for Advanced Placement (AP) tests. TOEFL, TOEIC, AP and Advanced Placement are trademarks of the Educational Testing Service which has neither reviewed nor endorsed this book. This book is one of a series of Websters paperbacks that allows the reader to obtainmore value from the experience of reading. Translations are from Websters Online Dictionary, derived from a meta-analysis of public sources, cited on the site.",Plato,ebook,546399401,48,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355869562l/10006519.jpg
Nobilis,"History,Politics,Nonfiction,Civil War,Spanish Civil War,Cultural,Spain,Economics,Anarchism","In Nobilis, players take on the roles of the Sovereign Powers, each the personification of one single aspect of reality: night, roads, ecstasy, chains, time, water - whatever the players can conceive of. Once human, each character has been forever changed, imbued with awesome power and terrible responsibility. Heaven and Hell, angels and devils, the Giants and the Old Gods - in Nobilis, all are united in the Great War against the Excrucians, whose goal is to destroy all Creation - but all are divided by their own plots and ancient rivalries, as well.","R. Sean Borgstrom,Bruce Baugh",Hardcover,1899749306,304,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387755246l/1000655.jpg
As a Driven Leaf,"Fiction,Contemporary,Literature,American,Novels,Literature,Mystery,Literary Fiction,New York,The United States Of America,Roman","The age of the Talmud is brought to life in a breathtaking saga. This masterpiece of modern fiction tells the gripping tale of renegade talmudic sage Elisha ben Abuyah's struggle to reconcile his faith with the allure of Hellenistic culture. ,Set in Roman Palestine, ,As a Driven Leaf, draws readers into the dramatic era of Rabbinic Judaism. Watch the great Talmudic sages at work in the Sanhedrin, eavesdrop on their arguments about theology and Torah, and agonize with them as they contemplate rebellion against an oppressive Roman rule. ,But Steinberg's classic novel also transcends its historical setting with its depiction of a timeless, perennial feature of the Jewish experience: the inevitable conflict between the call of tradition and the glamour of the surrounding culture. ,In his illuminating foreword, specially commissioned for this edition, Chaim Potok stresses the contemporary relevance of ,As a Driven Leaf,: This novel of ideas and passions... retains its ability to enter the heart of pious and seeking Jew alike. ,Synagogues everywhere are adopting ,As a Driven Leaf, for group study.","Milton Steinberg,Chaim Potok",Paperback,874411033,480,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347463821l/100065.jpg
Elliot Digs for Treasure,"Science,Chemistry","When Elliot finds a map with a mysterious X, he knows that means treasure! So out in the garden he goes to dig. Dreaming of gold and jewels, Socks, Beaverton and Angel eagerly join him. When the friends discover that the map isn't a treasure map at all, they share a good laugh. But things aren't so funny when Elliot realizes they've dug the hole so deep they're trapped with no escape!",Andrea Beck,Hardcover,613531833,29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327995539l/10006606.jpg
"Graphic Classics, Volume 10: Horror Classics","Historical,Historical Fiction,Cultural,India,Fiction,Historical,Literature,European Literature,British Literature,Classics,Literature,20th Century,Novels,Cultural,Asia","Horror Classics is an anthology of great fiction adapted in comics form for readers of all ages. This tenth volume of the Graphic Classics series presents stories by eleven of the original creators of the horror genre, including H.P. Lovecraft's ""The Thing on the Doorstep,"" Edgar Allan Poe's ""Some Words with a Mummy,"" and W.W. Jacobs' ""The Monkey's Paw."" Plus Saki, Balzac, Jack London, Olive Schreiner, Bret Harte, Howard Garis, Fitz-James O'Brien and Clark Ashton Smith. With art by Michael Manning, Richard Jenkins, Gabrielle Bell, Ryan Inzana and nine more great illustrators.","Tom Pomplun,Edgar Allan Poe,Jack London,H.P. Lovecraft,Clark Ashton Smith,W.W. Jacobs,Michael Manning,Richard Jenkins,John Pierard,Mark A. Nelson,Gabrielle Bell,Ryan Inzana,Saki",Paperback,974664812,144,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348251642l/100067.jpg
The Anarchist Collectives: Workers' Self-Management in the Spanish Revolution 1936-39,"Historical,Historical Fiction,Cultural,India,Fiction,Historical,Literature,European Literature,British Literature,Novels,Literature,20th Century,Classics,Literary Fiction","The Anarchist Collectives reveals a very different understanding of the nature of radical social change and the means of achieving it.,Sam Dolgoff, editor of the best anthology of Bakuninâ€™s writings, has now produced an excellent documentary history of the Anarchist collective in Spain. Although there is a vast literature on the Spanish Civil War, this is the first book in English that is devoted to the experiments in workersâ€™ self-management, both urban and rural, which constituted one of the most remarkable social revolutions in modern history. - Paul Avrich,The eyewitness reports and commentary presented in this highly important study reveal a different understanding of the nature of socialism and the means for achieving it. - Noam Chomsky,Table of Contents,Introduction, by Murray Bookchin,Part One: Background,1. The Spanish Revolution,The Two Revolutions,The Trend Towards Workersâ€™ Self-Management,2. The Libertarian Tradition,The Rural Collectivist Tradition,The Anarchist Influence,The Political and Economic Organization of Society,3. Historical Notes,The Prologue to Revolution,The Counter-Revolution and the Destruction of the Collectives,4. The Limitations of the Revolution,Part Two: The Social Revolution,5. The Economics of Revolution,Economic Structure and Coordination,A Note on the Difficult Problems of Reconstruction,Money and Exchange,6. Workersâ€™ Self-Management in Industry,7. Urban Collectivization,Collectivization in Catalonia,The Collectivization of the Metal and Munitions Industry,The Collectivization of the Optical Industry,The Socialization of Health Services,Industrial Collectivization in Alcoy,Control of Industries in the North,8. The Revolution of the Land,9. The Coordination of Collectives,The Peasant Federation of Levant,The Aragon Federation of Collectives: The First Congress,10. The Rural Collectives,A Journey Through Aragon,The Collectivization in Graus,Libertarian Communism in Alcora,The Collective in Binefar,Miralcampo and Azuqueca,Collectivization in Carcagente,Collectivization in Magdalena de Pulpis,The Collective in Mas de Las Matas,11. An Evaluation of the Anarchist Collectives,The Characteristics of the Libertarian Collectives,Conclusion,Bibliography,Index,Appendix,Photographs and Posters","Sam Dolgoff,Murray Bookchin",Paperback,919618200,280,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603515570l/1000687._SY475_.jpg
Oracle Night,"Science Fiction,Fiction,Science Fiction,Military Science Fiction,Fantasy,War,Military Fiction,Science Fiction Fantasy,War","The discovery of a mysterious notebook turns a man's life upside-down in this compulsively readable novel by 'one of the great writers of our time' ( San Francisco Chronicle ).,Several months into his recovery from a near-fatal illness, novelist Sidney Orr enters a stationery shop in Brooklyn and buys a blue notebook. It is September 18, 1982, and for the next nine days Orr will live under the spell of this blank book, trapped inside a world of eerie premonitions and bewildering events that threaten to destroy his marriage and undermine his faith in reality.,Paul Auster's mesmerizing eleventh novel reads like an old-fashioned ghost story. But there are no ghosts in this book - only flesh-and-blood human beings, wandering through the haunted realms of everyday life. Oracle Night is a narrative tour de force that confirms Auster's reputation as one of the boldest, most original writers at work in America today.",Paul Auster,,965913228,245,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328287302l/10006.jpg
"Principles of Colloid and Surface Chemistry, Revised and Expanded","Nonfiction,Language,Writing,Humanities,Language,Reference,Humanities,Linguistics,Education","This work aims to familiarize students with the fundamentals of colloid and surface science, from various types of colloids and colloidal phenomena, and classical and modern characterization/measurement techniques to applications of colloids and surface science in engineering, technology, chemistry, physics and biological and medical sciences. The Journal of Textile Studies proclaims ""High praise from peers . . .contains valuable information on many topics of interest to food rheologists and polymer scientists ...[The book] should be in the libraries of academic and industrial food research organizations"" and Chromatographia describes the book as ""...an excellent textbook, excellently organised, clearly written and well laid out.""",Paul C. Hiemenz,Hardcover,824793978,672,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385353200l/1000711.jpg
The Day of the Scorpion,"Parenting,Christian,Nonfiction,Family,Christian,Christian Living,Spirituality,Relationships,Religion,Christianity,Religion,Theology,Religion,Faith","In ""The Day of the Scorpion,"" Scott draws us deeper in to his epic of India at the close of World War II. With force and subtlety, he recreates both private ambition and perversity, and the politics of an entire subcontinent at a turning point in history. ,As the scorpion, encircled by a ring of fire, will sting itself to death, so does the British raj hasten its own destruction when threatened by the flames of Indian independence. Brutal repression and imprisonment of India's leaders cannot still the cry for home rule. And in the midst of chaos, the English Laytons withdraw from a world they no longer know to seek solace in denial, drink, and madness.",Paul Scott,Paperback,226743411,493,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328872722l/1000718.jpg
The Towers of Silence,"Horror,Short Stories,Anthologies,Gothic,Horror,Lovecraftian,Lovecraftian,Cthulhu Mythos,Fantasy","India, 1943: In a regimental hill station, the ladies of Pankot struggle to preserve the genteel faÃ§ade of British society amid the debris of a vanishing empire and World War II. A retired missionary, Barbara Batchelor, bears witness to the connections between many human dramas; the love between Daphne Manner and Hari Kumar; the desperate grief an old teacher feels for an India she cannot rescue; and the cruelty of Captain Ronald Merrick.",Paul Scott,Paperback,226743438,399,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328872723l/1000724.jpg
The Hammer,"Horror,Short Stories,Fiction,Anthologies,Horror,Lovecraftian,Gothic,Fantasy",Raj Whitehall and his hard-bitten troops must conquer a continent of barbarians descended from the crews of a squadron of starships. But Raj's biggest problem is the cowardice and envy among his own officers.,"S.M. Stirling,David Drake",Paperback,671721054,320,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526359299l/1000725._SY475_.jpg
Grammar Girl's 101 Misused Words You'll Never Confuse Again,"Classics,Fiction,Childrens,Young Adult,Historical,Historical Fiction,Childrens,Middle Grade,Historical,Childrens,Childrens Classics,Literature,American,Childrens,Juvenile","Millions of people around the world communicate better thanks to Mignon Fogarty, aka Grammar Girl, whose top-rated weekly grammar podcast has been downloaded more than 30 million times. After realizing her fans were asking the same questions over and over, Mignon decided to focus her attention on those words that continuously confound the masses. In ,Grammar Girl's 101 Misused Words You'll Never Confuse Again,, you'll learn:,- When you should use affect and when effect is right,- Whether you should you say purposely or purposefully,- The difference between hilarious and hysterical,Packed with clear explanations, fun quotations showing the word used in context, and the quick and dirty memory tricks Mignon is known for, this friendly reference guide ends the confusion once and for all and helps you speak and write with confidence.",Mignon Fogarty,Paperback,312573375,123,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316730622l/10007261.jpg
A Mother's Heart,"Nonfiction,Horror,History,Lovecraftian,Cthulhu Mythos,Horror,Lovecraftian,Occult","Overwhelmed by the stress of parenting? Author Jean Fleming reveals to women what it means to be a godly mother and offers encouragement to moms of all ages and backgrounds by:,Showing women how to distinguish between their role and God's role in raising children,Explaining how to take a spiritual inventory of a child's life,Discussing how to pray effectively for children",Jean Fleming,Paperback,891099441,208,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197699l/1000738.jpg
Eternal Lovecraft: The Persistence of HPL in Popular Culture,,"Fantasist H. P. Lovecraft enjoys an honor shared by few other authors of imaginative fiction -- since his death, the term Lovecraftian has come into worldwide use to describe a body of work so fully realized as to influence countless generations of subsequent writers. Each author in this volume came under the Lovecraftian conjuration and then wrote a story that in some way reflects this experience, providing compelling testimony that H. P. Lovecraft is one of the most influential writers of the 20(th) century.These stories have been previously published but are now gathered together to create this excellent and diverse anthology.,Contents (view Concise Listing), xiii â€¢ The ""Shadow"" over Lovecraft â€¢ (1998) â€¢ essay by Jim Turner, 3 â€¢ Her Misbegotten Son â€¢ (1996) â€¢ novella by Alan Rodgers, 50 â€¢ Daoine Domhain â€¢ (1992) â€¢ novelette by Peter Tremayne, 70 â€¢ To Mars and Providence â€¢ [War of the Worlds: Global Dispatches] â€¢ (1996) â€¢ short story by Don Webb, 81 â€¢ Weird Tales â€¢ (1984) â€¢ short story by Fred Chappell, 91 â€¢ The Land of the Reflected Ones â€¢ (1995) â€¢ short story by Nancy A. Collins, 102 â€¢ The Shadow at the Bottom of the World â€¢ (1990) â€¢ short story by Thomas Ligotti, 111 â€¢ Sensible City â€¢ (1994) â€¢ short story by Harlan Ellison, 119 â€¢ The Golden Keeper â€¢ (1997) â€¢ novella by Ian R. MacLeod, 165 â€¢ Ralph Wollstonecraft Hedge: A Memoir â€¢ (1959) â€¢ short story by Ron Goulart, 169 â€¢ Crouch End â€¢ [Cthulhu Mythos] â€¢ (1980) â€¢ novelette by Stephen King, 194 â€¢ The Turret â€¢ (1995) â€¢ novelette by Richard A. Lupoff, 221 â€¢ The Giant Rat of Sumatra â€¢ (1996) â€¢ novelette by Paula Volsky, 243 â€¢ Black as the Pit, from Pole to Pole â€¢ [Frankenstein Universe] â€¢ (1977) â€¢ novelette by Howard Waldrop and Steven Utley, 279 â€¢ The Other Dead Man â€¢ (1988) â€¢ short story by Gene Wolfe, 299 â€¢ The Events at Poroth Farm â€¢ (1972) â€¢ novella by T. E. D. Klein, 339 â€¢ The Ocean and All Its Devices â€¢ (1994) â€¢ novelette by William Browning Spencer, 357 â€¢ A Bit of the Dark World â€¢ (1962) â€¢ novelette by Fritz Leiber, 386 â€¢ The Perseids â€¢ (1995) â€¢ novelette by Robert Charles Wilson","Jim Turner,Alan Rodgers,Peter Tremayne,Don Webb,Fred Chappell,Nancy A. Collins,Thomas Ligotti,Harlan Ellison,Ian R. MacLeod,Ron Goulart,Stephen King,Richard A. Lupoff,Paula Volsky,Howard Waldrop,Steven Utley,Gene Wolfe,T.E.D. Klein,William Browning Spencer,Fritz Leiber,Robert Charles Wilson",Hardcover,965590178,410,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171464278l/100073._SX318_.jpg
H.P. Lovecraft's Favorite Weird Tales: The Roots of Modern Horror,"Food and Drink,Cookbooks,Nonfiction,Food and Drink,Tea","H.P. Lovecraft's favorite horror stories, those that inspired and awed him!,In 1929-30, H.P. Lovecraft made some lists of both literary and popular stories ""having the greatest amount of truly cosmic horror and macabre convincingness."" These lists of his favorite weird tales make for a truly landmark Lovecraftian anthology. We present Lovecraft's own favorites horror,stories, including some well-known classics, alongside of a number of excellent rare tales by forgotten authors. Many of these stories are classics, inspiring several generations since of the world's best horror authors. Contributors include Edgar Allan Poe, Ambrose Bierce, Arthur Machen, Robert W. Chambers, M. R. James, Algernon Blackwood, M. P. Shiel, A. Merritt, Walter de la Mare, Paul Suter, M. L. Humphreys, H.F. Arnold, Everil Worrell, Arthur J. Burks, and John Martin Leahy. This is the anthology of favorite weird tales that Lovecraft himself hoped to compile!,""To understand why Lovecraft regarded these stories as the touchstone for greatness in the literature of supernatural horror is to understand the significance of the genre itself. The classic works included in this collection, along with Lovecraft's own best tales, both justify and represent the essence of this form of human expression."" â€“ Thomas Ligotti",Douglas A. Anderson,Paperback,1593600569,391,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347366770l/100074.jpg
Pollyanna,"Games,Role Playing Games,Horror,Games,Gaming,Sports and Games,Games,Lovecraftian,Cthulhu Mythos","The orphan girl Pollyanna moves in with her strict aunt in New England. Despite a difficult start, Pollyanna's exuberance and positivity affect everyone who meets her, and she spreads joy and love wherever she goes. But when tragedy strikes, Pollyanna finds her optimistic attitude tested, and she must learn to find happiness again.,A heartwarming tale that has become one of the most loved children's stories of all time, Eleanor H. Porter's 1913 best-sellerâ€”the first in a long series of Pollyanna novels by the author and other writersâ€”is a beautiful story with a powerful moral message.",Eleanor H. Porter,Paperback,689849109,304,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348971112l/1000751.jpg
The Cult of Alien Gods: H.P. Lovecraft And Extraterrestrial Pop Culture,"Mystery,Mystery,Crime,Thriller,Fiction,European Literature,Scandinavian Literature,Cultural,Denmark,Thriller,Mystery Thriller,Scandinavian Lite...,Nordic Noir,Audiobook,Mystery,Detective","Many Americans believe that so-called ancient astronauts (visitors from outer space) were responsible for historical wonders like the pyramids. This entertaining and informative book traces the origins of such beliefs to the work of horror writer H. P. Lovecraft (1890â€“1937). The author takes the reader through fifty years of pop culture and pseudoscience highlighting such influential figures and developments as Erich von DÃ¤niken (,Chariots of the Gods,), Graham Hancock (,Fingerprints of the Gods,), Zecharia Sitchin (,Twelfth Planet,), and the Raelian Revolution. The astounding and improbable connections among these various characters are revealed, along with the disturbing consequences of Lovecraftâ€™s ""little joke"" for modern science and public knowledge.",Jason Colavito,Paperback,1591023521,398,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365463916l/100076.jpg
Financial Accounting Theory and Analysis: Text and Cases,"Horror,Short Stories,Fiction,Anthologies,Horror,Lovecraftian,Fantasy,Weird Fiction,Lovecraftian,Cthulhu Mythos",Unusual book,"Richard G. Schroeder,Myrtle W. Clark,Jack M. Cathey",Hardcover,470646284,612,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395699668l/10007815.jpg
"The Book of Herbal Teas: A Guide to Gathering, Brewing, and Drinking","Horror,Horror,Zombies,Science Fiction","Soothing chamomile. Refreshing peppermint. Tangy rose hips. Prized since ancient times for their medicinal properties, herbal teasC'mellow, flavorful, and aromaticC'are enjoying a modern renaissance. ""The Book of Herbal Teas"" presents lovingly detailed profiles of 40 popular herbs and spices for making tea, complete with everything tea lovers need to know to grow, gather, blend, and brew them at home. Here, too, are tips on how to use their gentle healing powers to brighten a mood, ease a cold or flu, or bring deep, relaxing sleep. Suffused with a fascinating blend of history and lore and illustrated with lovely photographs, this charming and comprehensive volume offers a refreshing new take on enjoying favorite herbal teas to the fullest.",Sara Perry,Hardcover,811813371,120,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180118994l/1000790._SX318_.jpg
H.P. Lovecraft's Arkham: Unveiling the Legend-Haunted City,"Nonfiction,Gardening,Art,Crafts,Reference,How To,Art,Environment,Nature,Nature,Plants,Adult,Environment,Green","Chaosium Stock #8803,Book by Keith Herber, et al.","Keith Herber,Richard Watts,Mark Morrison",Paperback,1568821654,248,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923971l/100079.jpg
Journal 64,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy,Fiction,Humor,Science Fiction,Writing,Books About Books,Graphic Novels Comics,Adventure,Adult","Indtil for blot 40 Ã¥r siden blev utilpassede eller blot uheldige danske kvinder deporteret til en lille Ã¸, hvor ondskab, misrÃ¸gt og torturlignende metoder blev brugt til at holde orden. Hertil kom Nete Hermansen, og her fra slap hun vÃ¦k: Troede hun. Den dag fortiden indhentede hende, blev det starten pÃ¥ en af Afdeling Qâ€™s mest komplicerede sager. Hvad gemmer hendes fortid? Hvad hÃ¦ndte der hende? Hvor forsvandt menneskene omkring hende hen? Og hvem stod bag? ,SkÃ¸nt vicepolitikommissÃ¦r Carl MÃ¸rck har rigeligt at se til med en mordefterforskning, han mÃ¥ske var involveret i og med et privatliv, der ikke helt spiller, presser hans to stÃ¦dige assistenter ham til at genÃ¥bne den sag, der for 23 Ã¥r siden udspillede sig med voldsomme konsekvenser for de implicerede. Snart gÃ¥r det op for det lille efterforskningsteam, at sagen blot er en lille flig af noget stÃ¸rre, der handler om overgreb af den allergroveste slags. Overgreb, som tilsyneladende stadig finder sted. ,Stille, roligt og indÃ¦dt gÃ¥r opklaringsarbejdet i gang, og det kommer til at tÃ¦re pÃ¥ Carl, ikke mindst fordi hans, Roses og Assads engagement i sagen bliver livsfarligt. Og da Carl endelig mener at vide, hvordan tingene hÃ¦nger sammen, melder en ny og meget koldblodig spiller sig pÃ¥ banen.",Jussi Adler-Olsen,Paperback,8756795459,462,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424299324l/10008056.jpg
The Starry Wisdom,"Horror,Fiction,Fantasy,Short Stories,Science Fiction,Classics,Horror,Lovecraftian,Anthologies,Anthologies,Collections,Lovecraftian,Cthulhu Mythos","Fiction. Science Fiction and Fantasy. Graphic Novel. Contemporary visions of cosmic transformation, mutation and madness--many inspired directly by the life and writings of H.P. Lovecraft, others reflecting his strangely presentient themes in their own bizarre subtexts. Here the primal beings of Lovecraft's Cthulhu Mythos stalk a postmodern landscape of social collapse, ethnic cleansing, genetic engineering and nuclear devastation--nightmare prophecies from his ulp pages which have now come chillingly true.","D.M. Mitchell,Alan Moore,Ramsey Campbell",Paperback,1840680873,221,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387736227l/100080.jpg
Re-Animator,,,"Jeff Rovin,Dennis Paoli,William J. Norris,Stuart Gordon,H.P. Lovecraft",Paperback,671637231,223,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346639271l/100081.jpg
"Terrarium Craft: Create 50 Magical, Miniature Worlds","Fiction,Cultural,Canada,Contemporary,Novels,Literature,Literary Fiction,Literature,Canadian Literature,Adult Fiction,Drama,Humor","A terrarium is nothing less than a miniature worldâ€”one that you can create yourself. It might be a tiny rainforest, with lush foliage and bright tropical flowers. Or a desert, with strange succulents planted among colorful stones. Or a Victorian fernery. Or a minimalist composition with a single, perfect plant.,Or it might not contain any plants at all. It might be made with crystals, feathers, bones, seashells, bits of wood, porcelain trinketsâ€”anything that catches your fancy and helps create a mood or look. Whatever they contain, terrariums are the ultimate in modern, affordable, easy-care dÃ©cor.,Terrarium Craft, features fifty original designs that you can re-create or use as inspiration for your own design. Each entry comes with clear step-by-step directions on how to assemble and care for your terrarium. Youâ€™ll also find helpful information about selecting a container, using appropriate materials, choosing the right plants, and maintaining your terrarium. (Hint: Itâ€™s easy! In fact, many terrariums are self-sustaining, requiring no maintenance whatsoever!)","Amy Bryant Aiello,Kate Bryant,Kate Baldwin",Paperback,1604692340,196,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404581457l/10008459.jpg
"Rex Libris, Volume I: I, Librarian",,"The astonishing story of the incomparable Rex Libris, Head Librarian at Middleton Public Library, and his unending struggle against the forces of ignorance and darkness. Rex travels to the farthest reaches of the galaxy in search of overdue books. Wearing his super thick bottle glasses, and armed with an arsenal of high technology weapons, he strikes fear into recalcitrant borrowers, and can take on virtually any foe from zombies to renegade literary characters. In this first collection of Librarian adventures, Rex must confront the powerful Space Warlord Vaglox and retrieve the overdue Principia Mathematica while an energy manifestation of blood thirsty Vandals attempt to burn down Middleton Library, and all within, to the ground.",James  Turner,Paperback,1593620624,176,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388205158l/1000846.jpg
At the Mountains of Madness and Other Novels of Terror,"Nonfiction,Fantasy,Mythology,Northern Africa,Egypt,Philosophy,History,Occult,Archaeology,Egyptology","NIGHTMARE STORIES FROM THE LAND OF TOTAL FEAR,Renowned as one of the great horror-writers of all time, H.P. Lovecraft produced works of enduring power. Now gathered together into this omnibus volume are seven classics of screaming supernatural terror and vilest horror...,Front cover illustration by Tim White.,Contents:,- Introduction: H. P. Lovecraft's Novels by August Derleth,- At the Mountains of Madness,- The Case of Charles Dexter Ward,- The Dreams in the Witch-House,- The Statement of Randolph Carter,- The Dream-Quest of Unknown Kadath,- The Silver Key,- Through the Gates of the Silver Key","H.P. Lovecraft,August Derleth",Mass Market Paperback,586063226,552,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1292714047l/100085.jpg
1001 Simple Ways to Lose Weight: Proven Tips Forlosing Those Extra Pounds and Keeping Them Off,"Romance,Historical Romance,Romance","1001 Simple Ways to Lose Weight offers immediate, practical, encouraging solutions to every weight-loss problem, from cutting down on fat and developing an exercise program to facing down that gooey hot-fudge sundae and learning to love the size-16 (and slimming ) reflection in the mirror. Written with the help of a panel of experts and based on the real-life success stories of more than 1,000 people, this one-of-a-kind collection gives dieters ""hands-off"" solutions to any weight-loss crisis they'll ever have.",Gary L. Rempe,Paperback,809230801,320,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223632843l/1000877.jpg
Eleanor Rigby,,"Eleanor Rigby ,is the story of Liz, a self-described drab, overweight, crabby, and friendless middle-aged woman, and her unlikely reunion with the charming and strange son she gave up for adoption. His arrival changes everything, and sets in motion a rapid-fire plot with all the twists and turns we expect of Coupland. By turns funny and heartbreaking, ,Eleanor Rigby, is a fast-paced read and a haunting exploration of the ways in which loneliness affects us all.",Douglas Coupland,Paperback,1582346437,272,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439806437l/10008._SY475_.jpg
Two Miles a Minute: The Story Behind the Conception and Operation of Britain's High Speed and Advanced Passenger Trains,,,Oswald Stevens Nock,Hardcover,085059412X,184,
Egyptian Myths and Mysteries,"Horror,Lovecraftian,Cthulhu Mythos","12 Lectures, Leipzig, September 2-14, 1908 (CW 106),Rudolf Steiner emphasizes the astonishing and special relationship between our own time and that of ancient Egypt--how, in the natural rhythm of the ages, the so-called third post-Atlantian (Egyptian) epoch is mirrored by the fifth (present) epoch. In this sense, today it is especially relevant to look at ancient Egypt with fresh eyes. The evolution of Western civilization has been profoundly influenced by Egyptian myths through the Greek mysteries. Because of other influences, however, this heritage has degenerated; thinking has mummified and and myth has all but disappeared. Consequently, it is important to revive the seed of goodness passed down to us from ancient Egypt.,Through true imagination, it is our task to renew human knowledge related to the creative forces in nature, which the Egyptians attempted through the Osiris-Isis myth, and the Greeks through the myth of Demeter. This is what Rudolf Steiner attempts in this lecture cycle.,Steiner's subjects include: experiences of Egyptian initiations; esoteric anatomy and physiology; the stages of evolution of the human form; and much more. The final lecture is on the Christ impulse as the conqueror of matter.,This volume is a translation from German of ï¿½,ï¿½gyptische Mythen und Mysterien im Verhï¿½ltnis zu den wirkenden Geisteskrï¿½ften der Gegenwart,ï¿½ (GA 106).,C O N T E N T S,Lecture 1. Spiritual connections between the culture streams of ancient and modern times,Lecture 2. The reflection of cosmic events in the religious view of human beings,Lecture 3. The old initiation centers; the human form as a subject of meditation,Lecture 4. Experiences of initiation; the mysteries of planets; descent of the primeval world,Lecture 5. The genesis of the trinity of Sun, Moon, and Earth; Osiris and Typhon,Lecture 6. The influence of Osiris and Isis; facts of occult anatomy and physiology,Lecture 7. Evolution in the human organism up to the Moon's departure,Lecture 8. States of evolution in the human form; the four human types,Lecture 9. Influence of the Sun and Moon spirits and the Isis and Osiris forces,Lecture 10. Ancient myths as images of cosmic facts; dimming of spiritual consciousness,Lecture 11. Ancient Egyptian doctrine of evolution; cosmic view of the organs,Lecture 12. The Christ impulse as conqueror of matter","Rudolf Steiner,N. Macbeth",Paperback,880101989,192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347651092l/1000906.jpg
